Cog = 
{
	LinkId = 
	{
		uint Id = 1,
	},
	Named = 
	{
		string Name = "Crow",
	},
	Archetyped = 
	{
		string Name = "53cf07f98b12c052:Crow",
	},
	Transform = 
	{
		Vec3 Translation = [0, 0, 0],
		Vec3 Scale = [0.5, 0.5, 1],
		Quat Rotation = [0, 0, 0, 1],
	},
	Sprite = 
	{
		string SpriteSource = "53e9f687115bdb5b:spr_crow",
		bool FlipX = false,
		bool FlipY = false,
		Vec4 Color = [1, 1, 1, 1],
		bool Visible = true,
		bool OnTop = true,
		bool AnimationActive = true,
		float AnimationSpeed = 1,
		uint StartFrame = 0,
		BlendMode BlendMode = Alpha,
		SpriteGeometryMode GeometryMode = ZPlane,
	},
	BoxCollider = 
	{
		bool Ghost = true,
		bool SendsMessages = true,
		bool Seamless = false,
		string MaterialName = "4faa6050b8692851:HardMaterial",
		string SerializedGroupName = "4e740859314e5515:DefaultGroup",
		Vec3 Offset = [-1.5, 1.5, 0],
		Vec3 Size = [2.5, 1.5, 0.5],
	},
	RigidBody = 
	{
		bool Static = false,
		bool Asleep = false,
		bool Kinematic = false,
		bool RotationLocked = true,
		bool Mode2D = false,
		bool AllowSleep = true,
		bool Inherit2DMode = true,
		Vec3 Velocity = [0, 0, 0],
		Vec3 AngularVelocity = [0, 0, 0],
	},
	py_clockHunter = 
	{
		float ChaseSpeed = 9,
		bool DestroyAtZeroHealth = true,
		float PaceSpeed = 8,
		float MaxMoveDistance = 10,
	},
	py_objectSettings = 
	{
		string objectClass = "Crow",
		bool canBeKilled = false,
		int objectHealth = 1,
		int damageToPlayer = 1,
		bool inBubble = false,
		int iTimer = 0,
	},
	IgnoreSpaceEffects = 
	{
		bool Drag = true,
		bool Flow = true,
		bool Force = false,
		bool Gravity = true,
		bool Thrust = false,
		bool Vortex = false,
		bool Wind = true,
		bool Invalid = false,
		bool Torque = false,
		bool PointGravity = true,
		bool PointForce = false,
		bool Buoyancy = true,
	},
	SoundEmitter = 
	{
		bool StartPlaying = false,
		int ExtraPriority = 0,
		string CueName = "53e02ad4da2cd497:BirdCry",
		float Volume = 1,
		float Pitch = 1,
		bool Positional = true,
	},
},
