Word,Count
/////////////////////////////////////////////////////////////////////////,304
the,186
-,170
//FUNCTION:,101
=,100
to,98
of,93
//NOTE:,89
not,77
but,71
used,67
©2015,54
//SCRIPT,54
//COPYRIGHT,54
DigiPen,54
Institute,54
Technology,54
//AUTHOR,54
+,51
this,47
if,46
assigned,46
variable,45
is,44
*,41
for,36
we,30
and,30
\"\\,26
private,26
in,26
},25
{,25
new,25
on,24
set,23
object,23
Travis,23
declared,22
field,22
once,21
a,21
vector,21
Moore,21
moveVec,21
Start(),19
Vector3,19
PROPERTIES,18
camera,18
Update,18
frame,18
per,17
called,17
get,17
Use,16
Lindsay,15
Auston,15
initialization,15
update,14
true;,14
/,13
<,13
it,13
float,13
force,13
from,13
are,13
&&,12
>=,12
that,12
position,12
\Vector3(moveX,\,11
Update(),11
be,11
movement,11
DEBUG,10
Enrique,10
or,10
player,10
Rodriguez,10
health,10
check,10
else,10
our,9
planet,9
out,8
\moveY,\,8
Transforming,8
\0f,\,8
should,8
will,8
angle,8
at,8
actions,8
ground,7
character,7
distance,7
see,7
false;,7
reset,7
timer,7
use,7
value,7
this.IsGrounded,7
random,7
Get,7
we're,7
state,7
moveY);,6
target,6
If,6
transform,6
assign,6
don't,6
CODE,6
this.gameObject.GetComponent<MovementController>().IsDisabled,6
move,6
into,6
call,6
ClampHealth(),6
need,6
Getting,6
inside,6
nothing,6
main,6
FUTURE,6
menu,6
0f);,6
height,6
surface,6
down,6
hud,6
NEEDED,6
90),6
/////////////////////////////////////////////////////////////////////////////,6
looking,6
HUD,5
&,5
care,5
float),5
forces,5
GameObject,5
button,5
local,5
an,5
keep,5
\Vector3,\,5
object's,5
about,5
so,5
destroy,5
no,5
z,5
game,5
void,5
disabled,5
up,5
right,5
make,5
before,5
correct,5
original,5
Vector3),5
shoot,5
world,5
axis,5
\result.distance,\,5
with,5
0,5
return,5
//PURPOSE:,5
back,5
apply,5
start,5
(),5
\Color.red,\,4
(AngleDiffX,4
create,4
<=,4
y,4
BoomVec,4
damage,4
point,4
135,4
\Debug.DrawLine(myPosition,\,4
x,4
conversion,4
bullet,4
AngleDiffY,4
between,4
\Debug.Log("\value_\,4
\float,\,4
suction,4
returning,4
how,4
center,4
can,4
toggle,4
relative,4
AngleDiffX,4
velocity,4
Fernando,4
LookAt(RandomDirection(MaxTurn,4
space,4
non-state-dependent,4
(AngleDiffY,4
45,4
does,4
forward,4
sure,4
Start,4
onto,4
(because,4
ensure,4
based,4
direction,4
[SerializeField],4
true);,4
Calls,4
(angle,4
myPosition,4
POS,4
sample,4
90,4
value_);,4
DestroyOwner(),4
state-dependent,4
pos,4
Zeroing,4
positive,4
CurrentHP,4
project,4
Lima,4
planetoid,4
Time.deltaTime,4
//////////////////////////////////////////////////////////////////////////////,4
Animator.applyRootMotion,4
pickup,4
fixed,3
equal,3
above,3
max,3
place,3
after,3
jump,3
-GetToPlanetCenter(),3
camera's,3
go,3
//must,3
adding,3
null),3
!=,3
135),3
\print("\Angle\,3
system,3
It,3
CurrentMenu,3
difficulty,3
true,3
when,3
kill,3
Apply,3
min,3
self,3
draw,3
longer,3
have,3
forceDirection,3
2,3
instead,3
print(gameObject.name,3
axes,3
push,3
each,3
Debug.Log,3
(STATES)GetState());,3
negative,3
ray,3
them,3
projectedVelocity,3
modified,3
scale,3
choose,3
cast,3
input,3
evaluate,3
Color.red);,3
we've,3
offset,3
calculating,3
//Vector3,3
45),3
FindDirectionToPlayer(),3
within,3
int,3
isn't,3
RechargeTimer,3
\0,\,3
towards,3
perform,3
last,3
case,3
initialize,3
\area,\,3
HUD.cs,3
180),3
player's,3
\print("\infinite\,3
first,3
Time.deltaTime));,3
calls,3
\loop"\);\,3
Called,3
nextAssumedPosition,3
base,3
them),3
depending,3
HIDDEN,3
all,3
this.FacingVector);,3
\"\'s\,3
nextCorrectPosition,3
every,3
animate,3
\instead,\,3
To,3
spawn,3
\in,\,3
relate,3
time,3
responcible,3
stateEnum);,3
normal,3
(in,2
0.1f,2
warned,2
AI,2
editor,2
moving,2
then,2
NOTE:,2
around,2
print(moveVec);,2
plane,2
obect,2
note,2
load,2
stretch,2
Player1Data.Player1DataObject.UpdateAmmo(this.Worth);,2
reference,2
\awayFromPlanetoid,\,2
torwards,2
newVelocity,2
assets,2
Check,2
bool,2
future,2
self-relative,2
rotational,2
\Vector3(0f,\,2
needed,2
gizmos,2
//start,2
Low,2
death,2
Planetoid,2
it's,2
probably,2
park,2
affect,2
holding,2
vacuum,2
raiders,2
\AnimateMenuScale(GameObject,\,2
zero,2
store,2
MouseCursor,2
also,2
over,2
found,2
enable,2
pause,2
effect,2
