File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\thede_000\Desktop\mycode\Player1Data.cs,72,43,23,1,9,4,20,68,0,1
C:\Users\thede_000\Desktop\mycode\TempStartGame.cs,27,15,7,1,6,1,6,26,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\Bullet.cs,185,119,63,11,27,8,39,306,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\DamageEffects.cs,227,120,55,11,22,4,85,224,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\Health.cs,176,102,54,16,18,4,56,216,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\RespectPlanetoid.cs,125,82,38,4,17,4,26,89,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\ScriptTester_HP.cs,55,39,18,4,8,4,8,37,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\Shoot.cs,124,79,49,7,16,2,29,102,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\SuctionTarget.cs,95,54,26,3,12,4,29,87,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\Vacuum.cs,211,127,68,11,26,4,58,185,0,1
C:\Users\thede_000\Desktop\mycode\GameplayMechanics\VacuumCollider.cs,52,28,11,3,8,4,16,57,0,1
C:\Users\thede_000\Desktop\mycode\LevelSettings\CameraShake.cs,37,23,8,0,4,4,10,41,0,1
C:\Users\thede_000\Desktop\mycode\LevelSettings\HUD.cs,256,171,111,15,30,4,55,160,0,1
C:\Users\thede_000\Desktop\mycode\LevelSettings\InGameMessageSystem.cs,53,28,15,0,6,4,19,51,0,1
C:\Users\thede_000\Desktop\mycode\LevelSettings\PauseSystem.cs,206,137,80,11,16,4,53,123,0,1
C:\Users\thede_000\Desktop\mycode\LevelSettings\StartGameCountdown.cs,126,89,49,9,13,4,24,91,0,1
C:\Users\thede_000\Desktop\mycode\MenuScripts\ButtonController.cs,145,98,56,17,17,4,30,90,0,1
C:\Users\thede_000\Desktop\mycode\MenuScripts\CreditsScroller.cs,46,29,14,0,6,4,11,43,0,1
C:\Users\thede_000\Desktop\mycode\MenuScripts\DestructiveConfirmation.cs,34,17,8,0,8,4,9,43,0,1
C:\Users\thede_000\Desktop\mycode\MenuScripts\MenuController.cs,160,91,45,1,19,4,50,152,0,1
C:\Users\thede_000\Desktop\mycode\MenuScripts\MenuSwitcher.cs,101,62,38,5,14,4,25,62,0,1
C:\Users\thede_000\Desktop\mycode\PickUps\PickUp.cs,284,174,91,10,29,4,81,260,0,1
